👀 Watching for changes... (Press Ctrl+C to stop)
📁 Initial structure generated
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (moved): objects
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (created): XXv276R2
📁 Updated structure (created): split-guard.test.ts
📁 Updated structure (created): 9b
📁 Updated structure (created): playwright-report
📁 Updated structure (created): XXGlvobH
📁 Updated structure (deleted): test-results
📁 Updated structure (created): development
📁 Updated structure (created): instrumentation
📁 Updated structure (deleted): playwright-report
📁 Updated structure (created): XXVjnfUc
📁 Updated structure (deleted): test-results
📁 Updated structure (created): build
📁 Updated structure (created): page
📁 Updated structure (created): _app
📁 Updated structure (deleted): playwright-report
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (modified): Twiggy
📁 Updated structure (created): scrapybara-split-guard.sh
📁 Updated structure (created): venv
📁 Updated structure (created): pip
📁 Updated structure (created): distlib
📁 Updated structure (created): tomli
📁 Updated structure (created): __pycache__
📁 Updated structure (created): __pycache__
📁 Updated structure (created): __pycache__
📁 Updated structure (created): __pycache__
📁 Updated structure (created): certifi
📁 Updated structure (created): _backends
📁 Updated structure (created): __pycache__
📁 Updated structure (created): scrapybara-2.5.3.dist-info
📁 Updated structure (created): scrapybara_split_guard.py
📁 Updated structure (modified): spark-scout
📁 Updated structure (created): SCRAPYBARA_TEST_README.md
📁 Updated structure (created): SCRAPYBARA_ONELINER.md
📁 Updated structure (deleted): test-results
📁 Updated structure (deleted): playwright-report
📁 Updated structure (created): resend
📁 Updated structure (created): node_modules
📁 Updated structure (deleted): test-results
📁 Updated structure (deleted): playwright-report
📁 Updated structure (created): playwright_split_guard.py
📁 Updated structure (created): pyee
📁 Updated structure (created): playwright
📁 Updated structure (created): codegen
📁 Updated structure (created): __pycache__
📁 Updated structure (modified): spark-scout
📁 Updated structure (created): SCRAPYBARA_IMPLEMENTATION_SUMMARY.md
📁 Updated structure (created): scrapybara-cookbook
📁 Updated structure (created): .venv
📁 Updated structure (created): scrapybara_cli-0.2.0.dist-info
📁 Updated structure (modified): scrapybara-cli
📁 Updated structure (created): test_split_errors.py
📁 Updated structure (created): __pycache__
📁 Updated structure (created): __pycache__
📁 Updated structure (created): __pycache__
📁 Updated structure (created): simple_test.py
📁 Updated structure (created): __pycache__
📁 Updated structure (created): minimal_test.py
📁 Updated structure (created): working_test.py
📁 Updated structure (created): test_pid.txt
📁 Updated structure (created): quick_test.py
📁 Updated structure (created): final_test.py
📁 Updated structure (created): streamlined_test.py
📁 Updated structure (created): detailed_test.py
📁 Updated structure (created): test_results.txt
📁 Updated structure (created): simple_results.py
📁 Updated structure (created): final_comprehensive_test.py
📁 Updated structure (created): auth_bypass_test.py
📁 Updated structure (created): localhost_test.py
📁 Updated structure (created): localhost_auth_test.py
📁 Updated structure (created): current_app_test.py
📁 Updated structure (created): production_test.py
📁 Updated structure (created): test-split-fixes.js
📁 Updated structure (deleted): css
📁 Updated structure (deleted): login
📁 Updated structure (deleted): register
📁 Updated structure (deleted): _document
📁 Updated structure (deleted): icon1.png
📁 Updated structure (deleted): qwen
📁 Updated structure (deleted): vercel
📁 Updated structure (deleted): vercel
📁 Updated structure (deleted): vercel
📁 Updated structure (deleted): llama-4-maverick
📁 Updated structure (deleted): moonshotai
📁 Updated structure (created): server
📁 Updated structure (created): chunks
📁 Updated structure (created): app
📁 Updated structure (created): static
📁 Updated structure (created): media
📁 Updated structure (created): chunks
📁 Updated structure (created): css
📁 Updated structure (deleted): pnpm-lock.yaml
📁 Updated structure (deleted): diagnostics
📁 Updated structure (deleted): login
📁 Updated structure (deleted): css
📁 Updated structure (deleted): [trpc]
📁 Updated structure (deleted): request
📁 Updated structure (deleted): cleanup
📁 Updated structure (deleted): chat-model
📁 Updated structure (deleted): upload
📁 Updated structure (deleted): update-model
📁 Updated structure (deleted): [id]
📁 Updated structure (created): server
📁 Updated structure (created): chunks
📁 Updated structure (created): app
📁 Updated structure (created): app
📁 Updated structure (created): update-model
📁 Updated structure (created): compare
📁 Updated structure (created): static
📁 Updated structure (created): media
📁 Updated structure (created): chunks
📁 Updated structure (created): client
📁 Updated structure (created): auth
📁 Updated structure (created): [trpc]
📁 Updated structure (created): components
📁 Updated structure (created): forgot
📁 Updated structure (created): reset
📁 Updated structure (created): login
📁 Updated structure (created): [id]
📁 Updated structure (created): register
📁 Updated structure (created): [[...slug]]
📁 Updated structure (created): [id]
📁 Updated structure (created): [id]
📁 Updated structure (created): css
📁 Updated structure (deleted): diagnostics
📁 Updated structure (deleted): media
📁 Updated structure (deleted): css
📁 Updated structure (deleted): Z5RHsDizU00tNkZWFEeu_
📁 Updated structure (deleted): chat-model
📁 Updated structure (deleted): chunks
📁 Updated structure (deleted): forgot
📁 Updated structure (deleted): register
📁 Updated structure (created): server
📁 Updated structure (created): chunks
📁 Updated structure (created): app
📁 Updated structure (created): api
📁 Updated structure (created): (auth)
📁 Updated structure (created): app
📁 Updated structure (created): (auth)
📁 Updated structure (created): models
📁 Updated structure (deleted): diagnostics
📁 Updated structure (deleted): chunks
📁 Updated structure (deleted): chat-model
📁 Updated structure (created): types
📁 Updated structure (created): diagnostics
📁 Updated structure (created): server
📁 Updated structure (created): chunks
📁 Updated structure (created): app
📁 Updated structure (created): api
📁 Updated structure (created): app
📁 Updated structure (created): (auth)
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (moved): commit-msg.sample
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
📁 Updated structure (modified): scrapybara-cookbook
